Impedance,Resistance,Reactance,HT
90.53,-111.65,3.44E-11,1
66.60,-48.90,7.83E-11,1
96.46,-118.83,3.21E-11,1
94.27,-112.58,3.38E-11,1
86.38,-75.19,5.04E-11,1
98.85,-120.84,3.12E-11,1
96.05,-116.00,3.24E-11,1
96.54,-118.20,3.17E-11,1
100.26,-123.38,3.03E-11,1
95.63,-124.26,3.00E-11,1
94.82,-123.68,3.00E-11,1
98.41,-125.37,2.95E-11,1
92.56,-132.38,2.78E-11,1
90.00,-128.03,2.87E-11,1
92.39,-126.27,2.90E-11,1
84.21,-140.53,2.60E-11,1
82.41,-130.17,2.79E-11,1
83.92,-117.64,3.08E-11,1
76.66,-143.39,2.52E-11,1
74.01,-129.27,2.78E-11,1
61.88,-57.56,6.23E-11,1
70.18,-134.14,2.66E-11,1
66.86,-122.14,2.92E-11,1
63.31,-66.50,5.34E-11,1
65.60,-123.41,2.87E-11,1
64.57,-113.51,3.11E-11,1
64.93,-111.26,3.16E-11,1
65.41,-115.42,3.04E-11,1
64.82,-108.55,3.22E-11,1
66.64,-106.17,3.28E-11,1
69.80,-106.88,3.25E-11,1
68.37,-105.80,3.27E-11,1
69.06,-102.05,3.38E-11,1
72.66,-101.78,3.38E-11,1
71.13,-106.18,3.23E-11,1
72.17,-100.09,3.41E-11,1
73.79,-95.39,3.57E-11,1
74.23,-108.55,3.12E-11,1
74.11,-99.62,3.39E-11,1
66.57,-69.04,4.88E-11,1
77.84,-106.47,3.16E-11,1
75.68,-99.04,3.38E-11,1
58.37,-50.28,6.64E-11,1
79.65,-104.52,3.18E-11,1
76.28,-98.33,3.37E-11,1
74.18,-83.02,3.98E-11,1
80.42,-104.72,3.15E-11,1
77.99,-99.79,3.29E-11,1
78.15,-99.39,3.30E-11,1
81.77,-102.20,3.20E-11,1
79.10,-101.52,3.21E-11,1
79.29,-99.84,3.25E-11,1
81.82,-101.76,3.18E-11,1
79.76,-105.04,3.07E-11,1
79.55,-100.49,3.20E-11,1
81.38,-99.65,3.22E-11,1
80.38,-109.39,2.92E-11,1
79.54,-101.66,3.14E-11,1
56.46,-47.03,6.76E-11,1
81.98,-107.92,2.94E-11,1
79.43,-107.80,2.93E-11,1
78.47,-103.11,3.06E-11,1
78.63,-103.72,3.03E-11,1
81.11,-106.70,2.94E-11,1
79.57,-114.85,2.72E-11,1
77.80,-106.00,2.94E-11,1
76.78,-105.85,2.93E-11,1
77.53,-102.22,3.03E-11,1
77.92,-113.01,2.73E-11,1
75.27,-107.69,2.86E-11,1
74.27,-106.82,2.87E-11,1
57.29,-53.41,5.73E-11,1
73.24,-115.16,2.65E-11,1
72.11,-114.39,2.66E-11,1
70.93,-109.24,2.78E-11,1
68.99,-109.57,2.76E-11,1
68.74,-113.31,2.66E-11,1
67.21,-120.00,2.51E-11,1
65.39,-111.11,2.70E-11,1
62.94,-109.83,2.73E-11,1
61.36,-105.31,2.83E-11,1
59.31,-114.44,2.60E-11,1
58.26,-107.88,2.75E-11,1
57.41,-105.79,2.80E-11,1
50.15,-58.75,5.02E-11,1
53.85,-108.53,2.71E-11,1
53.65,-106.69,2.75E-11,1
54.11,-100.50,2.91E-11,1
53.60,-99.28,2.94E-11,1
52.41,-99.13,2.94E-11,1
52.87,-103.95,2.79E-11,1
52.59,-96.13,3.01E-11,1
52.81,-94.31,3.06E-11,1
51.81,-88.40,3.26E-11,1
52.46,-95.78,3.00E-11,1
53.06,-91.28,3.14E-11,1
52.54,-89.35,3.20E-11,1
46.46,-54.41,5.24E-11,1
52.82,-91.45,3.11E-11,1
53.29,-90.63,3.13E-11,1
53.63,-86.00,3.29E-11,1
54.56,-85.39,3.30E-11,1
54.88,-85.47,3.29E-11,1
56.53,-89.76,3.12E-11,1
55.66,-83.92,3.33E-11,1
56.45,-82.86,3.37E-11,1
55.43,-77.70,3.58E-11,1
57.07,-85.59,3.24E-11,1
57.63,-82.21,3.37E-11,1
57.96,-80.88,3.41E-11,1
48.84,-52.70,5.23E-11,1
58.41,-84.01,3.27E-11,1
59.27,-83.80,3.27E-11,1
58.99,-79.44,3.44E-11,1
59.78,-79.28,3.44E-11,1
59.82,-79.97,3.40E-11,1
62.20,-83.87,3.23E-11,1
60.97,-79.09,3.42E-11,1
61.25,-78.26,3.45E-11,1
58.94,-72.68,3.70E-11,1
61.55,-81.59,3.29E-11,1
62.54,-78.57,3.41E-11,1
62.29,-77.22,3.46E-11,1
52.71,-54.03,4.93E-11,1
63.15,-81.07,3.28E-11,1
64.63,-81.31,3.26E-11,1
63.95,-77.12,3.43E-11,1
64.14,-77.04,3.42E-11,1
63.98,-77.94,3.38E-11,1
66.43,-81.94,3.20E-11,1
65.38,-77.62,3.37E-11,1
65.31,-77.11,3.39E-11,1
61.62,-70.60,3.69E-11,1
64.86,-80.80,3.22E-11,1
65.82,-78.52,3.30E-11,1
65.70,-76.84,3.37E-11,1
57.44,-57.84,4.46E-11,1
65.85,-80.68,3.19E-11,1
67.71,-81.43,3.15E-11,1
67.06,-76.93,3.33E-11,1
67.09,-77.05,3.32E-11,1
66.18,-77.60,3.29E-11,1
69.45,-82.00,3.10E-11,1
67.58,-78.01,3.25E-11,1
67.85,-77.50,3.27E-11,1
63.09,-69.43,3.64E-11,1
67.43,-81.15,3.11E-11,1
68.48,-79.82,3.15E-11,1
69.06,-77.92,3.22E-11,1
62.08,-63.70,3.93E-11,1
68.24,-82.08,3.04E-11,1
71.02,-83.74,2.97E-11,1
69.52,-79.07,3.14E-11,1
69.34,-79.36,3.12E-11,1
68.41,-79.55,3.11E-11,1
71.46,-84.56,2.92E-11,1
69.95,-80.86,3.04E-11,1
69.75,-80.54,3.05E-11,1
63.79,-70.24,3.49E-11,1
69.43,-84.33,2.90E-11,1
70.16,-83.49,2.92E-11,1
70.20,-81.84,2.97E-11,1
66.09,-72.22,3.36E-11,1
69.55,-86.03,2.82E-11,1
72.06,-88.92,2.72E-11,1
70.14,-83.92,2.87E-11,1
70.06,-84.32,2.85E-11,1
68.70,-83.86,2.86E-11,1
71.44,-90.17,2.66E-11,1
70.12,-86.41,2.77E-11,1
69.30,-86.18,2.77E-11,1
62.46,-72.56,3.28E-11,1
67.72,-90.13,2.63E-11,1
68.58,-90.00,2.63E-11,1
67.81,-88.29,2.68E-11,1
65.55,-83.08,2.84E-11,1
65.54,-92.41,2.55E-11,1
67.46,-96.30,2.44E-11,1
65.60,-90.86,2.58E-11,1
64.66,-91.24,2.56E-11,1
62.13,-90.00,2.59E-11,1
62.99,-96.14,2.42E-11,1
61.91,-92.94,2.50E-11,1
60.55,-92.27,2.51E-11,1
54.37,-74.90,3.09E-11,1
56.40,-94.39,2.44E-11,1
57.23,-94.19,2.44E-11,1
56.33,-91.93,2.50E-11,1
54.54,-89.41,2.56E-11,1
51.78,-92.43,2.48E-11,1
52.61,-96.25,2.37E-11,1
52.10,-90.18,2.53E-11,1
51.45,-89.33,2.54E-11,1
49.63,-86.57,2.62E-11,1
49.17,-90.30,2.51E-11,1
49.03,-87.16,2.59E-11,1
48.47,-85.69,2.63E-11,1
44.41,-67.23,3.35E-11,1
47.07,-85.64,2.62E-11,1
47.27,-85.04,2.63E-11,1
47.02,-82.22,2.72E-11,1
46.69,-80.99,2.75E-11,1
45.77,-82.09,2.71E-11,1
46.88,-84.07,2.64E-11,1
46.68,-78.77,2.81E-11,1
47.07,-77.84,2.84E-11,1
46.28,-75.38,2.93E-11,1
47.26,-78.44,2.81E-11,1
47.56,-75.81,2.90E-11,1
47.60,-74.67,2.94E-11,1
41.46,-55.87,3.92E-11,1
47.71,-75.25,2.90E-11,1
48.67,-74.69,2.92E-11,1
48.93,-72.46,3.00E-11,1
49.09,-72.07,3.01E-11,1
49.17,-73.19,2.96E-11,1
50.89,-75.34,2.87E-11,1
50.27,-70.98,3.04E-11,1
51.16,-70.50,3.06E-11,1
50.54,-68.82,3.12E-11,1
51.96,-71.93,2.98E-11,1
52.12,-70.12,3.05E-11,1
52.02,-69.53,3.07E-11,1
40.62,-47.47,4.49E-11,1
52.74,-71.15,2.99E-11,1
53.99,-71.25,2.98E-11,1
53.73,-69.40,3.05E-11,1
54.21,-69.62,3.04E-11,1
53.78,-71.30,2.96E-11,1
55.99,-74.13,2.84E-11,1
54.95,-70.02,3.00E-11,1
55.01,-69.89,3.00E-11,1
53.96,-68.28,3.07E-11,1
55.60,-71.78,2.91E-11,1
55.42,-70.27,2.97E-11,1
55.29,-69.81,2.98E-11,1
37.55,-41.71,4.98E-11,1
55.07,-71.61,2.90E-11,1
56.33,-71.79,2.88E-11,1
55.96,-69.81,2.96E-11,1
56.54,-69.89,2.95E-11,1
55.69,-71.48,2.88E-11,1
58.51,-74.54,2.76E-11,1
56.68,-70.38,2.91E-11,1
56.44,-70.20,2.92E-11,1
55.26,-68.29,2.99E-11,1
57.04,-71.84,2.84E-11,1
56.72,-70.63,2.88E-11,1
56.96,-70.10,2.90E-11,1
39.05,-42.85,4.73E-11,1
56.43,-72.30,2.80E-11,1
57.79,-72.89,2.77E-11,1
57.39,-70.77,2.85E-11,1
57.26,-71.19,2.83E-11,1
56.36,-72.48,2.77E-11,1
58.72,-76.13,2.63E-11,1
57.33,-71.84,2.78E-11,1
56.91,-71.74,2.78E-11,1
55.00,-69.67,2.86E-11,1
56.68,-73.51,2.71E-11,1
57.25,-72.30,2.75E-11,1
56.59,-71.91,2.76E-11,1
39.97,-44.86,4.41E-11,1
55.96,-73.76,2.68E-11,1
57.43,-74.44,2.65E-11,1
56.98,-72.19,2.73E-11,1
56.84,-72.39,2.71E-11,1
55.85,-73.20,2.68E-11,1
58.51,-77.35,2.53E-11,1
56.15,-73.09,2.67E-11,1
56.13,-72.77,2.68E-11,1
54.27,-70.05,2.78E-11,1
55.32,-74.15,2.62E-11,1
55.94,-73.03,2.65E-11,1
55.78,-72.46,2.67E-11,1
40.13,-46.67,4.14E-11,1
54.44,-74.23,2.60E-11,1
55.72,-75.08,2.56E-11,1
54.65,-72.77,2.64E-11,1
54.82,-72.78,2.64E-11,1
53.50,-72.64,2.64E-11,1
56.22,-77.46,2.47E-11,1
54.01,-73.06,2.61E-11,1
54.01,-72.63,2.62E-11,1
51.97,-69.38,2.74E-11,1
52.74,-73.60,2.58E-11,1
53.71,-72.56,2.61E-11,1
53.51,-71.84,2.63E-11,1
39.80,-47.64,3.96E-11,1
52.28,-73.12,2.58E-11,1
54.06,-74.12,2.54E-11,1
53.08,-71.61,2.62E-11,1
52.93,-71.61,2.62E-11,1
52.13,-71.07,2.63E-11,1
54.66,-75.92,2.46E-11,1
52.94,-71.75,2.60E-11,1
53.24,-71.31,2.61E-11,1
51.07,-67.76,2.74E-11,1
52.05,-72.52,2.56E-11,1
53.22,-71.49,2.59E-11,1
52.96,-70.80,2.61E-11,1
40.44,-48.21,3.83E-11,1
52.14,-72.22,2.55E-11,1
53.93,-73.59,2.50E-11,1
53.19,-70.98,2.59E-11,1
53.23,-71.00,2.58E-11,1
52.10,-70.30,2.60E-11,1
55.29,-75.30,2.43E-11,1
53.28,-71.23,2.56E-11,1
53.44,-70.90,2.57E-11,1
50.87,-66.87,2.72E-11,1
52.76,-71.91,2.52E-11,1
53.46,-71.09,2.55E-11,1
53.32,-70.54,2.56E-11,1
41.28,-49.32,3.66E-11,1
52.49,-71.94,2.50E-11,1
54.72,-73.53,2.45E-11,1
53.74,-70.86,2.53E-11,1
53.80,-70.94,2.53E-11,1
52.41,-70.32,2.54E-11,1
55.82,-75.42,2.37E-11,1
53.94,-71.59,2.49E-11,1
53.67,-71.25,2.50E-11,1
50.94,-66.70,2.67E-11,1
52.76,-72.29,2.46E-11,1
53.72,-71.88,2.46E-11,1
53.65,-71.25,2.48E-11,1
42.75,-51.43,3.43E-11,1
52.87,-72.59,2.43E-11,1
54.72,-74.81,2.35E-11,1
54.00,-72.08,2.44E-11,1
54.04,-72.23,2.43E-11,1
52.96,-71.39,2.45E-11,1
56.10,-76.96,2.27E-11,1
53.92,-73.49,2.38E-11,1
54.12,-73.27,2.38E-11,1
51.09,-67.80,2.57E-11,1
52.71,-74.43,2.33E-11,1
53.54,-74.67,2.32E-11,1
53.43,-73.95,2.34E-11,1
44.22,-55.78,3.10E-11,1
51.92,-75.30,2.29E-11,1
53.35,-78.12,2.21E-11,1
52.64,-75.06,2.29E-11,1
52.52,-75.23,2.28E-11,1
50.73,-73.87,2.32E-11,1
53.21,-79.51,2.15E-11,1
51.59,-76.01,2.25E-11,1
51.55,-75.63,2.26E-11,1
47.98,-69.04,2.47E-11,1
49.61,-76.19,2.23E-11,1
50.44,-76.78,2.21E-11,1
50.09,-75.65,2.24E-11,1
43.63,-60.30,2.81E-11,1
48.48,-76.13,2.22E-11,1
49.85,-79.14,2.13E-11,1
48.80,-75.77,2.22E-11,1
48.45,-75.73,2.22E-11,1
47.33,-73.82,2.28E-11,1
48.69,-79.09,2.12E-11,1
47.74,-75.90,2.21E-11,1
47.34,-75.31,2.22E-11,1
44.70,-67.80,2.46E-11,1
46.32,-75.29,2.21E-11,1
46.67,-76.03,2.19E-11,1
46.37,-74.69,2.22E-11,1
42.52,-63.34,2.62E-11,1
45.77,-74.81,2.21E-11,1
47.07,-77.78,2.13E-11,1
