Impedance,Resistance,Reactance,
93.4,147.56,5.26E-08,1
105.2,146.48,5.20E-08,1
110.73,143.47,5.08E-08,1
160.22,139.71,4.93E-08,1
119.2,139.21,4.90E-08,1
121.88,138.78,4.87E-08,1
131.44,138.55,4.84E-08,1
144.34,135.44,4.72E-08,1
154.18,127.86,4.44E-08,1
172.65,106.86,3.70E-08,1
157.91,103.78,3.58E-08,1
148.52,96.77,3.33E-08,1
149.67,87.52,3.00E-08,1
143.4,84.56,2.89E-08,1
138.27,84.99,2.89E-08,1
134.59,86.57,2.94E-08,1
131.18,90.17,3.05E-08,1
132.12,93.19,3.14E-08,1
135.26,93.93,3.16E-08,1
135.53,96.16,3.22E-08,1
241.01,27.48,9.18E-09,1
137.95,102.24,3.41E-08,1
134.69,105.9,3.52E-08,1
143.17,105.32,3.49E-08,1
147.63,105.87,3.49E-08,1
149.66,107.75,3.54E-08,1
157.74,107.27,3.52E-08,1
152.51,113.72,3.72E-08,1
151.67,119.55,3.90E-08,1
162.41,121.48,3.95E-08,1
168.43,127.02,4.11E-08,1
174.37,131.54,4.25E-08,1
184.13,139.59,4.49E-08,1
193.74,146.61,4.71E-08,1
209.41,150.4,4.81E-08,1
230.52,149.63,4.77E-08,1
248.64,149.92,4.77E-08,1
346.41,90.28,2.86E-08,1
293.14,139.54,4.41E-08,1
302,142.34,4.49E-08,1
337.92,110.23,3.47E-08,1
360.96,83.7,2.62E-08,1
374.74,54.77,1.71E-08,1
376.34,5.07,1.58E-09,1
373.46,-13.02,2.39E-11,1
371.62,-34.83,8.90E-12,1
356.83,-71.31,4.33E-12,1
340.62,-87.92,3.50E-12,1
315.55,-122.83,2.50E-12,1
307.7,-103.77,2.95E-12,1
297.43,-107.62,2.84E-12,1
290.93,-119.95,2.54E-12,1
282.36,-128.87,2.36E-12,1
277.43,-135.79,2.23E-12,1
262.62,-159.94,1.89E-12,1
268.55,-153.93,1.96E-12,1
264.28,-162.2,1.85E-12,1
244.85,-181.25,1.65E-12,1
229.76,-191.63,1.56E-12,1
214.53,-199.39,1.49E-12,1
196.39,-204.06,1.46E-12,1
182.39,-205.04,1.44E-12,1
166.47,-204.95,1.44E-12,1
150.33,-203.07,1.45E-12,1
138.61,-199.52,1.47E-12,1
97.9,-207.85,1.41E-12,1
118.22,-191.6,1.52E-12,1
112.39,-187.53,1.55E-12,1
102.5,-184.66,1.57E-12,1
94.55,-180.86,1.60E-12,1
87.38,-176.98,1.63E-12,1
78.36,-173.4,1.66E-12,1
73.7,-167.88,1.71E-12,1
69.98,-163.51,1.75E-12,1
63.93,-159.89,1.79E-12,1
59.31,-155.44,1.83E-12,1
55.67,-151.19,1.88E-12,1
51.44,-146.16,1.94E-12,1
48.22,-142.14,1.99E-12,1
