Impedance,Resistance,Reactance,HT
14.07,-92.54,4.20E-11,0
14.64,-86.94,4.45E-11,0
14.09,-89.53,4.31E-11,0
14.16,-88.93,4.32E-11,0
14.51,-84.62,4.53E-11,0
14.78,-84.72,4.50E-11,0
14.83,-85.78,4.43E-11,0
15.29,-82.82,4.58E-11,0
15.35,-79.28,4.76E-11,0
16.39,-83.33,4.52E-11,0
16.83,-82.69,4.53E-11,0
16.65,-76.00,4.92E-11,0
18.29,-81.57,4.56E-11,0
19.07,-81.09,4.58E-11,0
19.15,-74.30,4.98E-11,0
20.78,-80.75,4.56E-11,0
21.45,-80.78,4.55E-11,0
22.65,-72.55,5.04E-11,0
22.68,-81.22,4.49E-11,0
23.17,-81.82,4.44E-11,0
26.95,-72.27,5.01E-11,0
23.89,-83.37,4.33E-11,0
23.75,-84.16,4.27E-11,0
29.67,-75.99,4.72E-11,0
25.51,-82.53,4.33E-11,0
21.50,-85.85,4.15E-11,0
25.13,-82.65,4.30E-11,0
25.80,-81.69,4.33E-11,0
18.17,-85.85,4.11E-11,0
17.92,-84.93,4.14E-11,0
22.83,-80.79,4.34E-11,0
15.54,-83.61,4.18E-11,0
15.00,-82.82,4.20E-11,0
20.15,-79.16,4.38E-11,0
14.16,-81.10,4.26E-11,0
13.97,-80.32,4.29E-11,0
19.12,-76.34,4.50E-11,0
13.72,-78.78,4.35E-11,0
13.55,-77.98,4.38E-11,0
18.19,-74.41,4.57E-11,0
13.27,-76.34,4.44E-11,0
13.37,-75.68,4.47E-11,0
18.28,-71.88,4.69E-11,0
14.37,-73.54,4.57E-11,0
13.37,-73.44,4.56E-11,0
17.35,-70.03,4.77E-11,0
16.96,-70.01,4.75E-11,0
13.50,-71.25,4.66E-11,0
14.92,-69.70,4.75E-11,0
18.79,-67.08,4.92E-11,0
13.75,-69.53,4.73E-11,0
13.65,-68.85,4.76E-11,0
19.54,-65.26,5.01E-11,0
13.98,-67.74,4.81E-11,0
14.14,-67.22,4.83E-11,0
20.00,-64.05,5.06E-11,0
14.35,-66.18,4.88E-11,0
14.61,-65.70,4.90E-11,0
20.98,-62.24,5.16E-11,0
15.01,-64.59,4.95E-11,0
15.07,-63.96,4.99E-11,0
21.93,-60.24,5.28E-11,0
22.11,-60.33,5.26E-11,0
15.70,-62.25,5.08E-11,0
15.75,-61.56,5.12E-11,0
